umrID,umrName,ID,name
8806,Centre De Formation D'Apprentis,1,Communications Centre De Formation D'Apprentis
8808,Associations,1,Association Graine de Chimiste
8811,Fondations,1,Fondation UPMC
8806,Centre De Formation D'Apprentis,2,Relations Entreprises / Centre de formation d'apprentis
8808,Associations,2,Orchestre Symphonique interUniversitaire de Paris
8808,Associations,3,Association Comité Loisirs Informations Culture (CLIC)
8808,Associations,4,Association Sportive de l'UPMC
8808,Associations,5,Comité Local d'Action Sociale
8808,Associations,6,Associations des Amis du Patrimoine Géologique de l’UPMC
8808,Associations,7,Association BrailleNet
8808,Associations,8,Cursus de Master en Ingénierie
8808,Associations,9,EIT Health
SG,Directions Et Services Centraux,107,Direction Generale De La Recherche Et Du Transfert De Technologie
SG,Directions Et Services Centraux,110,Direction Generale De La Formation Et De L'Insertion Professionnelle
SG,Directions Et Services Centraux,114,Direction Des Relations Internationales
SG,Directions Et Services Centraux,121,Direction De La Culture
SG,Directions Et Services Centraux,124,Direction De L'Evaluation Et De L'Aide Au Pilotage
SG,Directions Et Services Centraux,125,Direction Des Ressources Humaines
SG,Directions Et Services Centraux,126,Direction Des Systemes D'Information
SG,Directions Et Services Centraux,127,Direction Du Budget Et Des Finances
SG,Directions Et Services Centraux,133,Direction De La Vie Etudiante
SG,Directions Et Services Centraux,137,Direction Du Patrimoine Immobilier
SG,Directions Et Services Centraux,138,Direction De La Logistique Et Des Campus
SG,Directions Et Services Centraux,141,Gestion Des Installations Sportives
SG,Directions Et Services Centraux,142,Agence Comptable
SG,Directions Et Services Centraux,144,Direction Des Achats
907,Institut De Formation Doctorale,150,Ed 386 Sciences Mathematiques Paris Centre
907,Institut De Formation Doctorale,151,Ed 130 Informatique Telecommunication Et Electronique De Paris
907,Institut De Formation Doctorale,153,Ed 389 Physique De La Particule A La Matiere Condensee
907,Institut De Formation Doctorale,155,Ed 391 Sciences Mecaniques Acoustique Electronique Et Robotique De Paris
907,Institut De Formation Doctorale,157,Ed 129 Sciences De L'Environnement D'Ile De France
907,Institut De Formation Doctorale,158,Ed 398 Geosciences - Ressources Naturelles Et Environnement
907,Institut De Formation Doctorale,159,Ed 388 Chimie Physique Et Chimie Analytique De Paris Centre
907,Institut De Formation Doctorale,160,Ed 397 Physique Et Chimie Des Materiaux
907,Institut De Formation Doctorale,161,Ed 406 Chimie Moleculaire De Paris Centre
907,Institut De Formation Doctorale,162,Ed 158 Cerveau Cognition Et Comportement
907,Institut De Formation Doctorale,163,Ed 515 Complexite Du Vivant
907,Institut De Formation Doctorale,164,Ed 387 Interdisciplinaire Pour Le Vivant
907,Institut De Formation Doctorale,166,Ed 393 Sante Publique Epidemiologie Et Sciences De L'Information Biomedicale
907,Institut De Formation Doctorale,167,Ed 394 Physiologie - Physiopathologie Et Therapeuthique
907,Institut De Formation Doctorale,168,Ed 127 Astronomie Et Astrophysique
907,Institut De Formation Doctorale,172,Ed 109 Stepu
907,Institut De Formation Doctorale,173,Ed 227 Sciences De La Nature Et De L' Homme : Evolution Et Ecologie
907,Institut De Formation Doctorale,174,Ed 564 Physique En Ile De France
907,Institut De Formation Doctorale,175,Ed 560 Sciences De La Terre De L' Environnement Et Physique De L'Unviers - Paris
SG,Directions Et Services Centraux,180,Direction Des Ressources Partenariales
929,Ufr Faculte De Mathematiques,199,Institut De Statistique De L'Universite De Paris
3,Service General De Formation Initiale,303,Departement Des Activites Physiques Et Sportives
3,Service General De Formation Initiale,305,Administration Du Service General De La Formation Initial
918,Ufr Faculte Terre - Environnement - Biodiversite,317,Centre Des Sciences De La Mer
3,Service General De Formation Initiale,318,Departement Des Langues
MIT,Service General Tice,319,Departement Des Formations Ouvertes Et A Distance
3,Service General De Formation Initiale,320,Cellule D'Accompagnement Et De Formation A L'Insertion Professionnelle
MIT,Service General Tice,321,Tice-Med
3,Service General De Formation Initiale,340,Er 11 Didactique Des Langues Et Des Cultures
904,Bibliotheque Universitaire Pierre Et Marie Curie,403,Saint-Antoine Section
904,Bibliotheque Universitaire Pierre Et Marie Curie,405,Bibliotheque De L'Ufr De La Pitie-Salpetriere Section
904,Bibliotheque Universitaire Pierre Et Marie Curie,407,Bibliotheque De Stomatologie Michel Dechaume
904,Bibliotheque Universitaire Pierre Et Marie Curie,410,Service D'Informatique Documentaire
904,Bibliotheque Universitaire Pierre Et Marie Curie,411,Bibliotheque Numerique
904,Bibliotheque Universitaire Pierre Et Marie Curie,424,Bibliotheque Biologie Chimie Physique Recherche
904,Bibliotheque Universitaire Pierre Et Marie Curie,425,Bibliotheque De Banyuls
904,Bibliotheque Universitaire Pierre Et Marie Curie,426,Bibliotheque Des Licences
904,Bibliotheque Universitaire Pierre Et Marie Curie,427,Bibliotheque De L1
904,Bibliotheque Universitaire Pierre Et Marie Curie,428,Bibliotheque De L'Atrium
905,Centre De Recherches Biomedicales Des Cordeliers,598,Hors Labos 905
905,Centre De Recherches Biomedicales Des Cordeliers,599,Structures Reconnues Exterieures 905
907,Institut De Formation Doctorale,701,Administration De L'Institut De Formation Doctorale
907,Institut De Formation Doctorale,702,Departement Formation Et Carrieres
918,Ufr Faculte Terre - Environnement - Biodiversite,1801,Administration De L'Ufr 918
918,Ufr Faculte Terre - Environnement - Biodiversite,1854,Umr 7205 Institut De Systematique - Evolution - Biodiversite
918,Ufr Faculte Terre - Environnement - Biodiversite,1855,Umr 7618 - Umrd 211 - Umra 1392 - Um 113 Institut D'Ecologie Et Des Sciences De L'Environnement De Paris
918,Ufr Faculte Terre - Environnement - Biodiversite,1856,Umr 7619 Milieux Environnementaux - Transferts Et Interactions Dans Les Hydrosystemes Et Les Sols
918,Ufr Faculte Terre - Environnement - Biodiversite,1898,Hors Labos 918
918,Ufr Faculte Terre - Environnement - Biodiversite,1899,Structures Reconnues Exterieures 918
919,Ufr Faculte Ingenierie,1901,Administration De L'Ufr 919
925,Ufr Faculte De Physique,1907,Umr 7587 Institut Langevin Ondes Et Images
919,Ufr Faculte Ingenierie,1908,Ums 2809 Usages En Technologies De L'Information Numerique
919,Ufr Faculte Ingenierie,1910,Fr 2609 Federation Francilienne En Mecanique Des Materiaux
919,Ufr Faculte Ingenierie,1911,Umr 9912 Sciences Et Technologies De La Musique Et Du Son
919,Ufr Faculte Ingenierie,1929,Fed 3 Upmc Institut Du Calcul Et De La Simulation
919,Ufr Faculte Ingenierie,1930,Umi 2955 Image And Pervasive Access Lab
919,Ufr Faculte Ingenierie,1931,Umrs 1146 - Umr 7371 - Um 117 Laboratoire D'Imagerie Biomedicale
919,Ufr Faculte Ingenierie,1932,Ums 3665 Institut Des Sciences De La Communication Du Cnrs
919,Ufr Faculte Ingenierie,1933,Umrs 1142 Informatique Medicale Et Ingenierie Des Connaissances Pour La Sante
919,Ufr Faculte Ingenierie,1998,Hors Labos 919
919,Ufr Faculte Ingenierie,1999,Structures Reconnues Exterieures 919
929,Ufr Faculte De Mathematiques,2101,Administration De L'Ufr 929
929,Ufr Faculte De Mathematiques,2102,Fr 2830 Mathematiques De Paris Centre
929,Ufr Faculte De Mathematiques,2105,Umr 7598 Laboratoire Jacques-Louis Lions
929,Ufr Faculte De Mathematiques,2106,Umr 7599 Probabilites Et Modeles Aleatoires
929,Ufr Faculte De Mathematiques,2107,Umr 7586 Institut De Mathematiques De Jussieu
919,Ufr Faculte Ingenierie,2203,Umr 7606 Laboratoire D'Informatique De Paris 6 (Lip6)
919,Ufr Faculte Ingenierie,2305,Umr 7222 Institut Des Systemes Intelligents Et Robotique
925,Ufr Faculte De Physique,2313,Umr 7636 Physique Et Mecanique Des Milieux Heterogenes
919,Ufr Faculte Ingenierie,2320,Umr 7190 Institut Jean Le Rond D'Alembert
918,Ufr Faculte Terre - Environnement - Biodiversite,2410,Umr 8190 Atmospheres Milieux Et Observations Spatiales
934,Institut D'Astrophysique De Paris,2411,Umr 7095 Institut D'Astrophysique De Paris
918,Ufr Faculte Terre - Environnement - Biodiversite,2412,Umr 8539 Meteorologie Dynamique
918,Ufr Faculte Terre - Environnement - Biodiversite,2413,Umr 7159 - Umrd 182 - Um 71 Laboratoire D'Oceanographie Et Du Climat : Experimentations Et Approches Numeriques
925,Ufr Faculte De Physique,2415,Umr 8112 Etude Du Rayonnement Et De La Matiere En Astrophysique Et Atmosphere
925,Ufr Faculte De Physique,2416,Umr 8109 Etudes Spatiales Et Instrumentation En Astrophysique
919,Ufr Faculte Ingenierie,2420,Umr 8507 Genie Electrique Et Electronique De Paris
919,Ufr Faculte Ingenierie,2421,Ur 2 Upmc Electronique Et Electromagnetisme
926,Ufr Faculte De Chimie,2422,Umr 8235 Interfaces Et Systemes Electrochimiques
925,Ufr Faculte De Physique,2424,Umr 7605 Utilisation Des Lasers Intenses
918,Ufr Faculte Terre - Environnement - Biodiversite,2426,Fr 636 Institut Pierre Simon Laplace
925,Ufr Faculte De Physique,2428,Umr 8028 Institut De Mecanique Celeste Et De Calcul Des Ephemerides
925,Ufr Faculte De Physique,2429,Umr 8630 Systeme De Reference Temps-Espace
925,Ufr Faculte De Physique,2501,Administration De L'Ufr 925
925,Ufr Faculte De Physique,2502,Umr 8213 Physique Et Etude Des Materiaux
925,Ufr Faculte De Physique,2505,Umr 7590 - Umrd 206 - Um 120 Institut De Mineralogie - De Physique Des Materiaux Et De Cosmochimie
925,Ufr Faculte De Physique,2513,Umr 8551 Laboratoire Pierre Aigrain
925,Ufr Faculte De Physique,2516,Umr 7585 Physique Nucleaire Et Hautes Energies
925,Ufr Faculte De Physique,2517,Umr 8550 Physique Statistique De L'Ens
925,Ufr Faculte De Physique,2518,Umr 7600 Physique Theorique De La Matiere Condensee
925,Ufr Faculte De Physique,2520,Umr 7589 Physique Theorique Et Hautes Energies
925,Ufr Faculte De Physique,2523,Umr 8552 Laboratoire Kastler-Brossel
925,Ufr Faculte De Physique,2525,Umr 7588 Institut Des Nanosciences De Paris
925,Ufr Faculte De Physique,2526,Umr 8549 Physique Theorique De L'Ens
925,Ufr Faculte De Physique,2527,Umr 168 Physico-Chimie Curie
925,Ufr Faculte De Physique,2529,Fr 2687 Federation De Recherche Interactions Fondamentales
925,Ufr Faculte De Physique,2537,Umr 7648 Physique Des Plasmas
925,Ufr Faculte De Physique,2538,Umr 8237 Laboratoire Jean Perrin
925,Ufr Faculte De Physique,2541,Umr 125 Surface Du Verre Et Interfaces
925,Ufr Faculte De Physique,2598,Hors Labos 925
925,Ufr Faculte De Physique,2599,Structures Reconnues Exterieures 925
926,Ufr Faculte De Chimie,2601,Administration De L'Ufr 926
926,Ufr Faculte De Chimie,2604,Umr 7615 Sciences Et Ingenierie De La Matiere Molle
926,Ufr Faculte De Chimie,2606,Umr 7574 Chimie De La Matiere Condensee De Paris
926,Ufr Faculte De Chimie,2607,Umr 8232 Institut Parisien De Chimie Moleculaire
926,Ufr Faculte De Chimie,2608,Umr 7203 Laboratoire Des Biomolecules
926,Ufr Faculte De Chimie,2609,Umr 7616 Chimie Theorique
